symptoms,severity
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
routine checkup,0
